Task,Resource,Start Date,End Date,Duration (days),Project
"E-commerce Website Platform",Project,2025-04-01,2025-05-27,56,"E-commerce Website Platform"
"Requirement Analysis & UI/UX Design","David Kim",2025-04-01,2025-04-14,14,"E-commerce Website Platform"
"UI/UX Design","UI/UX Designer (New Hire)",2025-04-01,2025-04-14,14,"E-commerce Website Platform"
"Frontend Development","Alice Johnson",2025-04-15,2025-05-12,28,"E-commerce Website Platform"
"Frontend Development","Noah Anderson",2025-05-01,2025-05-12,12,"E-commerce Website Platform"
"Backend Development","Mark Thompson",2025-04-15,2025-05-12,28,"E-commerce Website Platform"
"Backend Development","Isabella Garcia",2025-05-01,2025-05-12,12,"E-commerce Website Platform"
"Database Setup","Priya Patel",2025-04-15,2025-05-12,28,"E-commerce Website Platform"
"DevOps & Infrastructure","Carlos Rivera",2025-05-01,2025-05-27,27,"E-commerce Website Platform"
"Testing & QA","Emily Chen",2025-06-01,2025-06-07,7,"E-commerce Website Platform"
"Testing & QA","Grace Wilson",2025-06-15,2025-06-21,7,"E-commerce Website Platform"

"AI-Powered Customer Support Chatbot",Project,2025-05-01,2025-06-19,50,"AI-Powered Customer Support Chatbot"
"Requirement Gathering & Planning","Oliver Brown",2025-05-01,2025-05-07,7,"AI-Powered Customer Support Chatbot"
"AI Model Training","Sophia Martinez",2025-05-08,2025-05-21,14,"AI-Powered Customer Support Chatbot"
"AI Model Training","Daniel Schmidt",2025-05-08,2025-05-21,14,"AI-Powered Customer Support Chatbot"
"Backend API Development","Olivia Turner",2025-05-08,2025-05-21,14,"AI-Powered Customer Support Chatbot"
"Frontend Integration","Jackson White",2025-05-15,2025-05-28,14,"AI-Powered Customer Support Chatbot"
"NLP Integration","Rajesh Kumar",2025-05-10,2025-05-30,21,"AI-Powered Customer Support Chatbot"
"DevOps & Containerization","Lucas Müller",2025-05-20,2025-06-05,17,"AI-Powered Customer Support Chatbot"
"Testing & QA","Grace Wilson",2025-06-06,2025-06-19,14,"AI-Powered Customer Support Chatbot"

"Cross-Platform Mobile Application",Project,2025-05-15,2025-06-26,43,"Cross-Platform Mobile Application"
"Requirement Analysis & Design","Ava Robinson",2025-05-15,2025-05-21,7,"Cross-Platform Mobile Application"
"UI/UX Design","UI/UX Designer (New Hire)",2025-05-15,2025-05-28,14,"Cross-Platform Mobile Application"
"Mobile App Development","Ethan Davis",2025-05-22,2025-06-12,22,"Cross-Platform Mobile Application"
"Mobile App Development","Zoe Williams",2025-06-01,2025-06-12,12,"Cross-Platform Mobile Application"
