Sprint,TaskID,TaskName,PlannedStart,PlannedEnd,ActualStart,ActualEnd,StoryPoints
1,T1,User Registration,2025-03-01,2025-03-03,2025-03-01,2025-03-04,8
1,T2,Product Catalog,2025-03-04,2025-03-07,2025-03-04,2025-03-06,13
1,T3,Shopping Cart,2025-03-08,2025-03-14,2025-03-08,2025-03-15,9
2,T4,Payment Integration,2025-03-15,2025-03-19,2025-03-15,2025-03-19,13
2,T5,Order Management,2025-03-20,2025-03-24,2025-03-20,2025-03-25,8
2,T6,Wishlist,2025-03-25,2025-03-28,2025-03-26,2025-03-29,5
3,T7,Search & Filter,2025-03-29,2025-04-02,2025-03-29,2025-04-01,10
3,T8,Reviews & Ratings,2025-04-03,2025-04-07,2025-04-03,2025-04-08,6
3,T9,Inventory Management,2025-04-08,2025-04-11,2025-04-08,2025-04-11,12
4,T10,Checkout Flow,2025-04-12,2025-04-16,2025-04-12,2025-04-17,15
4,T11,User Profiles,2025-04-17,2025-04-21,2025-04-17,2025-04-20,10
4,T12,Admin Dashboard,2025-04-22,2025-04-25,2025-04-22,2025-04-26,7
5,T13,Recommendations Engine,2025-04-26,2025-04-30,2025-04-26,2025-04-29,8
5,T14,Analytics Reporting,2025-05-01,2025-05-05,2025-05-01,2025-05-06,10
5,T15,Performance Optimization,2025-05-06,2025-05-09,2025-05-06,2025-05-10,12
